LightEngine Log - 2026-06-17 17:48:16
------------------------------------------------------------
[17:48:16] INIT: LightEngine v4.0.0 started
[17:48:16] WEATHER: Weather initialized: fog (20 particles)
[17:48:37] BOT_ALERT: Bot#2 spotted player at (4.3,16.5)
[17:48:38] BOT_ALERT: Bot#2 spotted player at (4.3,13.3)
[17:48:38] BOT_ALERT: Bot#2 spotted player at (6.6,11.0)
[17:48:38] BOT_ALERT: Bot#2 spotted player at (7.2,10.4)
[17:48:39] BOT_ALERT: Bot#2 spotted player at (7.2,9.5)
[17:48:40] BOT_INVESTIGATE: Bot#2 investigating last known position
[17:48:45] BOT_ALERT: Bot#1 spotted player at (15.6,16.7)
[17:48:45] BOT_ALERT: Bot#1 spotted player at (15.6,16.7)
[17:48:46] BOT_ALERT: Bot#1 spotted player at (12.7,18.3)
[17:48:46] BOT_ALERT: Bot#1 spotted player at (11.9,18.3)
[17:48:47] PLAYER: Light ON
[17:48:47] BOT_ALERT: Bot#1 spotted player at (11.2,18.3)
[17:48:47] BOT_ALERT: Bot#1 spotted player at (10.3,18.3)
[17:48:47] BOT_ALERT: Bot#1 spotted player at (10.3,18.3)
[17:48:47] BOT_ALERT: Bot#1 spotted player at (10.3,18.3)
[17:48:47] BOT_ALERT: Bot#1 spotted player at (9.5,18.3)
[17:48:47] BOT_ALERT: Bot#1 spotted player at (8.6,18.3)
[17:48:48] BOT_ALERT: Bot#1 spotted player at (7.8,18.3)
[17:48:48] BOT_ALERT: Bot#1 spotted player at (7.8,17.4)
[17:48:48] BOT_ALERT: Bot#1 spotted player at (7.8,16.5)
[17:48:48] BOT_ALERT: Bot#1 spotted player at (7.8,15.6)
[17:48:48] BOT_ALERT: Bot#1 spotted player at (7.8,14.8)
[17:48:48] BOT_ALERT: Bot#1 spotted player at (7.8,13.8)
[17:48:49] BOT_ALERT: Bot#1 spotted player at (8.4,13.1)
[17:48:49] BOT_ALERT: Bot#1 spotted player at (9.1,12.5)
[17:48:49] BOT_ALERT: Bot#1 spotted player at (9.7,11.9)
[17:48:49] BOT_ALERT: Bot#1 spotted player at (10.3,11.3)
[17:48:49] BOT_ALERT: Bot#1 spotted player at (11.0,10.5)
[17:48:50] BOT_ALERT: Bot#1 spotted player at (11.7,9.9)
[17:48:50] BOT_ALERT: Bot#1 spotted player at (12.3,9.3)
[17:48:50] BOT_ALERT: Bot#2 spotted player at (12.3,9.3)
[17:48:50] BOT_ALERT: Bot#1 spotted player at (13.3,9.3)
[17:48:50] BOT_ALERT: Bot#2 spotted player at (13.3,9.3)
[17:48:50] BOT_ALERT: Bot#1 spotted player at (13.9,9.9)
[17:48:50] BOT_ALERT: Bot#1 spotted player at (14.5,10.5)
[17:48:51] BOT_ALERT: Bot#1 spotted player at (15.2,11.2)
[17:48:51] BOT_ALERT: Bot#1 spotted player at (15.9,11.8)
[17:48:51] BOT_ALERT: Bot#1 spotted player at (16.5,12.5)
[17:48:51] BOT_ALERT: Bot#1 spotted player at (17.2,13.1)
[17:48:51] BOT_ALERT: Bot#1 spotted player at (17.8,13.8)
[17:48:51] BOT_ALERT: Bot#1 spotted player at (17.8,14.6)
[17:48:51] BOT_INVESTIGATE: Bot#2 investigating last known position
[17:48:52] BOT_ALERT: Bot#1 spotted player at (17.1,15.3)
[17:48:52] BOT_ALERT: Bot#1 spotted player at (16.5,15.9)
[17:48:52] BOT_ALERT: Bot#1 spotted player at (15.9,16.5)
[17:48:52] BOT_ALERT: Bot#1 spotted player at (15.2,17.1)
[17:48:52] BOT_ALERT: Bot#1 spotted player at (15.2,17.1)
[17:48:52] BOT_ALERT: Bot#1 spotted player at (15.2,17.1)
[17:48:53] BOT_ALERT: Bot#1 spotted player at (15.2,17.1)
[17:48:53] BOT_ALERT: Bot#1 spotted player at (15.7,16.7)
[17:48:53] BOT_ALERT: Bot#1 spotted player at (16.2,16.1)
[17:48:53] BOT_ALERT: Bot#1 spotted player at (16.2,16.1)
[17:48:53] BOT_ALERT: Bot#1 spotted player at (16.2,16.1)
